2025-05-30 20:51:51,302 - Starting training with model_type: gce_model_B
2025-05-30 20:51:51,302 - Test path: data/B/test.json.gz
2025-05-30 20:51:51,302 - Train path: data/B/train.json.gz
2025-05-30 20:52:05,246 - Starting training with model_type: gce_model_B
2025-05-30 20:52:05,246 - Test path: data/B/test.json.gz
2025-05-30 20:52:05,246 - Train path: data/B/train.json.gz
2025-05-30 20:53:15,391 - Starting training with model_type: gce_model_B
2025-05-30 20:53:15,391 - Test path: data/B/test.json.gz
2025-05-30 20:53:15,391 - Train path: data/B/train.json.gz
2025-05-30 20:55:13,713 - Epoch 1: Train Loss=0.8433, Train Acc=0.2600, Val Loss=0.8033, Val Acc=0.2821, Val F1=0.1632, LR=1.00e-03
2025-05-30 20:55:48,594 - Epoch 2: Train Loss=0.7664, Train Acc=0.3230, Val Loss=0.7755, Val Acc=0.2973, Val F1=0.1500, LR=1.00e-03
2025-05-30 20:56:13,873 - Epoch 3: Train Loss=0.7318, Train Acc=0.3453, Val Loss=0.7692, Val Acc=0.3009, Val F1=0.1456, LR=1.00e-03
2025-05-30 20:56:39,040 - Epoch 4: Train Loss=0.7182, Train Acc=0.3589, Val Loss=0.7932, Val Acc=0.2821, Val F1=0.1422, LR=1.00e-03
2025-05-30 20:57:17,840 - Epoch 5: Train Loss=0.6989, Train Acc=0.3750, Val Loss=0.7383, Val Acc=0.3312, Val F1=0.1962, LR=1.00e-03
2025-05-30 20:58:02,119 - Epoch 6: Train Loss=0.6863, Train Acc=0.3824, Val Loss=0.6868, Val Acc=0.3821, Val F1=0.2603, LR=1.00e-03
2025-05-30 20:58:48,163 - Epoch 7: Train Loss=0.6886, Train Acc=0.3801, Val Loss=0.7874, Val Acc=0.2884, Val F1=0.1614, LR=1.00e-03
2025-05-30 20:59:34,289 - Epoch 8: Train Loss=0.6806, Train Acc=0.3882, Val Loss=0.7081, Val Acc=0.3607, Val F1=0.2174, LR=1.00e-03
2025-05-30 21:00:17,490 - Epoch 9: Train Loss=0.6695, Train Acc=0.4004, Val Loss=0.7578, Val Acc=0.3089, Val F1=0.1828, LR=1.00e-03
2025-05-30 21:01:03,502 - Epoch 10: Train Loss=0.6555, Train Acc=0.4138, Val Loss=0.8179, Val Acc=0.2589, Val F1=0.1515, LR=1.00e-03
2025-05-30 21:01:49,001 - Epoch 11: Train Loss=0.6581, Train Acc=0.4118, Val Loss=0.6567, Val Acc=0.4036, Val F1=0.2688, LR=1.00e-03
